wtB,B,shift_t,R,wA,cA,required_f,Kres,status
6,2920,3,16,1,0,2,2,PASS
5,369,0,13,2,1,2,1,PASS
5,738,1,14,2,1,2,1,PASS
5,1476,2,15,2,1,2,1,PASS
5,2952,3,16,2,1,2,1,PASS
6,371,0,13,1,0,2,2,PASS
6,742,1,14,1,0,2,2,PASS
6,1484,2,15,1,0,2,2,PASS
6,2968,3,16,1,0,2,2,PASS
6,373,0,13,1,0,2,2,PASS
6,746,1,14,1,0,2,2,PASS
6,1492,2,15,1,0,2,2,PASS
6,2984,3,16,1,0,2,2,PASS
6,377,0,13,1,0,2,2,PASS
6,754,1,14,1,0,2,2,PASS
6,1508,2,15,1,0,2,2,PASS
6,3016,3,16,1,0,2,2,PASS
4,393,0,13,3,2,2,0,PASS
4,786,1,14,3,2,2,0,PASS
4,1572,2,15,3,2,2,0,PASS
4,3144,3,16,3,2,2,0,PASS
5,395,0,13,2,1,2,1,PASS
5,790,1,14,2,1,2,1,PASS
5,1580,2,15,2,1,2,1,PASS
5,3160,3,16,2,1,2,1,PASS
5,397,0,13,2,1,2,1,PASS
5,794,1,14,2,1,2,1,PASS
5,1588,2,15,2,1,2,1,PASS
5,3176,3,16,2,1,2,1,PASS
6,399,0,13,1,0,2,2,PASS
6,798,1,14,1,0,2,2,PASS
6,1596,2,15,1,0,2,2,PASS
6,3192,3,16,1,0,2,2,PASS
4,401,0,13,3,2,2,0,PASS
4,802,1,14,3,2,2,0,PASS
4,1604,2,15,3,2,2,0,PASS
4,3208,3,16,3,2,2,0,PASS
5,403,0,13,2,1,2,1,PASS
5,806,1,14,2,1,2,1,PASS
5,1612,2,15,2,1,2,1,PASS
5,3224,3,16,2,1,2,1,PASS
5,405,0,13,2,1,2,1,PASS
5,810,1,14,2,1,2,1,PASS
5,1620,2,15,2,1,2,1,PASS
5,3240,3,16,2,1,2,1,PASS
6,407,0,13,1,0,2,2,PASS
6,814,1,14,1,0,2,2,PASS
6,1628,2,15,1,0,2,2,PASS
6,3256,3,16,1,0,2,2,PASS
5,409,0,13,2,1,2,1,PASS
5,818,1,14,2,1,2,1,PASS
5,1636,2,15,2,1,2,1,PASS
5,3272,3,16,2,1,2,1,PASS
6,411,0,13,1,0,2,2,PASS
6,822,1,14,1,0,2,2,PASS
6,1644,2,15,1,0,2,2,PASS
6,3288,3,16,1,0,2,2,PASS
6,413,0,13,1,0,2,2,PASS
6,826,1,14,1,0,2,2,PASS
6,1652,2,15,1,0,2,2,PASS
6,3304,3,16,1,0,2,2,PASS
5,419,0,13,2,1,2,1,PASS
5,838,1,14,2,1,2,1,PASS
5,1676,2,15,2,1,2,1,PASS
5,3352,3,16,2,1,2,1,PASS
5,421,0,13,2,1,2,1,PASS
5,842,1,14,2,1,2,1,PASS
5,1684,2,15,2,1,2,1,PASS
5,3368,3,16,2,1,2,1,PASS
6,423,0,13,1,0,2,2,PASS
6,846,1,14,1,0,2,2,PASS
6,1692,2,15,1,0,2,2,PASS
6,3384,3,16,1,0,2,2,PASS
5,425,0,13,2,1,2,1,PASS
5,850,1,14,2,1,2,1,PASS
5,1700,2,15,2,1,2,1,PASS
5,3400,3,16,2,1,2,1,PASS
6,427,0,13,1,0,2,2,PASS
6,854,1,14,1,0,2,2,PASS
6,1708,2,15,1,0,2,2,PASS
6,3416,3,16,1,0,2,2,PASS
