n,l,l_star,is_brauer,g1,g2,g3,g4,g5,g6,t,time_sec
8987208,26,26,True,3,2,2,3,2,2,3,31.9259
8987272,27,27,True,3,2,2,3,1,3,3,160.26
8987716,27,27,True,3,2,2,2,3,3,2,169.338
8987720,27,27,True,3,2,2,2,3,2,3,156.93
8987784,27,27,True,3,2,2,2,2,3,3,155.3
8988808,27,27,True,3,2,2,1,3,3,3,165.18
8995908,27,27,True,3,2,1,3,3,3,2,159.741
8995912,27,27,True,3,2,1,3,3,2,3,155.472
8995976,27,27,True,3,2,1,3,2,3,3,159.083
8997000,27,27,True,3,2,1,2,3,3,3,164.88
9013384,27,27,True,3,2,0,3,3,3,3,157.608
9052706,27,27,True,3,1,3,3,3,3,1,153.018
9052708,27,27,True,3,1,3,3,3,2,2,149.993
9052712,27,27,True,3,1,3,3,3,1,3,148.482
9052740,27,27,True,3,1,3,3,2,3,2,173.316
9052744,27,27,True,3,1,3,3,2,2,3,157.63
9052808,27,27,True,3,1,3,3,1,3,3,162.065
9053252,27,27,True,3,1,3,2,3,3,2,159.843
9053256,27,27,True,3,1,3,2,3,2,3,146.873
9053320,27,27,True,3,1,3,2,2,3,3,152.08
9054344,27,27,True,3,1,3,1,3,3,3,163.616
9061444,27,27,True,3,1,2,3,3,3,2,166.786
9061448,27,27,True,3,1,2,3,3,2,3,173.302
9061512,27,27,True,3,1,2,3,2,3,3,163.28
9062536,27,27,True,3,1,2,2,3,3,3,170.097
9078920,27,27,True,3,1,1,3,3,3,3,156.157
9192516,27,27,True,3,0,3,3,3,3,2,144.274
9192520,27,27,True,3,0,3,3,3,2,3,143.212
9192584,27,27,True,3,0,3,3,2,3,3,142.991
9193608,27,27,True,3,0,3,2,3,3,3,143.271
9209992,27,27,True,3,0,2,3,3,3,3,142.259
9507089,27,27,True,2,3,3,3,3,3,0,99.8556
9507090,27,27,True,2,3,3,3,3,2,1,102.623
9507092,27,27,True,2,3,3,3,3,1,2,555.895
9507096,27,27,True,2,3,3,3,3,0,3,555.968
9507106,27,27,True,2,3,3,3,2,3,1,101.985
9507108,27,27,True,2,3,3,3,2,2,2,101.653
9507112,27,27,True,2,3,3,3,2,1,3,559.268
9507140,27,27,True,2,3,3,3,1,3,2,100.9
9507144,27,27,True,2,3,3,3,1,2,3,114.521
9507208,27,27,True,2,3,3,3,0,3,3,114.408
9507362,27,27,True,2,3,3,2,3,3,1,116.346
9507364,27,27,True,2,3,3,2,3,2,2,89.4173
9507368,27,27,True,2,3,3,2,3,1,3,86.7328
9507396,27,27,True,2,3,3,2,2,3,2,115.795
9507400,27,27,True,2,3,3,2,2,2,3,83.5335
9507464,27,27,True,2,3,3,2,1,3,3,110.661
9507908,27,27,True,2,3,3,1,3,3,2,392.27
9507912,27,27,True,2,3,3,1,3,2,3,99.1236
9507976,27,27,True,2,3,3,1,2,3,3,414.278
